trial_index,start_time,end_time,TTP,ChosenPort,CorrectPort,outcome,LED,angle_offset,target_zone_size,mouseID,training/testing,day,session,dataset,session_dict,filter_profile
30,22919.628416,22958.617984,2.3529920000000857,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
31,22959.617984,22986.968992,2.903999999998632,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
32,22987.968992,23004.761984,2.4470079999991867,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
33,23005.761984,23015.370976,2.152991999999358,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
34,23016.370976,23026.086496,1.6704959999988205,8,7,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
35,23027.086496,23034.170976,1.2059840000001714,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
36,23035.170976,23056.12,1.3040000000000873,8,7,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
37,23057.12,23098.816,3.5510079999985464,5,7,Failure,OFF,-40.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
38,23099.816,23115.338048,3.823072000002867,2,7,Failure,OFF,-100.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
39,23116.338048,23127.885984,2.821984000001976,6,7,Failure,OFF,-20.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
40,23128.885984,23137.008992,1.6919999999990978,6,7,Failure,OFF,-20.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
41,23138.008992,23156.709984,4.395007999999507,5,7,Failure,OFF,-40.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
42,23157.709984,23237.83648,5.016480000002048,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
43,23238.83648,23250.273408,2.758432000002358,2,7,Failure,OFF,-100.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
44,23251.273408,23264.18,5.015999999999622,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
45,23265.18,23292.652992,2.9380160000000615,5,7,Failure,OFF,-40.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
46,23293.652992,23307.27648,4.560480000000098,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
47,23308.27648,23323.552,1.186015999999654,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
48,23324.552,23337.592,1.6770240000005288,5,7,Failure,OFF,-40.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
49,23338.592,23351.278976,5.01299199999994,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
50,23352.278976,23367.221984,5.007008000000496,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
51,23368.221984,23395.355488,2.2895040000003064,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
52,23396.355488,23415.476,4.561023999998724,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
53,23416.476,23434.9,1.5850239999999758,5,7,Failure,OFF,-40.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
54,23435.9,23453.585984,2.621984000001248,6,7,Failure,OFF,-20.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
55,23454.585984,23470.731488,5.016512000001967,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
56,23471.731488,23494.174976,5.010975999997754,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
57,23495.174976,23572.480992,5.014016000000993,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
58,23573.480992,23626.983488,3.470496000001731,7,7,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
59,23627.983488,23643.925984,5.012000000002445,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
60,23644.925984,23657.417984,3.2520000000004075,8,7,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
