USID,mouse,day,session,n_trials,n_trials_parser,n_trials_events,matches
FLR_M01569521__Day 1__2026-03-26T18-47-11,FLR_M01569521,Day 1,2026-03-26T18-47-11,31,31,31,True
FLR_M01569521__Day 10__2026-04-07T16-18-09,FLR_M01569521,Day 10,2026-04-07T16-18-09,136,35,35,True
FLR_M01569521__Day 10__2026-04-07T16-25-44,FLR_M01569521,Day 10,2026-04-07T16-25-44,87,55,55,True
FLR_M01569521__Day 10__2026-04-07T16-38-36,FLR_M01569521,Day 10,2026-04-07T16-38-36,92,33,33,True
FLR_M01569521__Day 10__2026-04-07T16-46-00,FLR_M01569521,Day 10,2026-04-07T16-46-00,92,21,21,True
FLR_M01569521__Day 11__2026-04-08T15-43-23,FLR_M01569521,Day 11,2026-04-08T15-43-23,136,40,40,True
FLR_M01569521__Day 11__2026-04-08T15-54-59,FLR_M01569521,Day 11,2026-04-08T15-54-59,118,12,12,True
FLR_M01569521__Day 11__2026-04-08T15-58-43,FLR_M01569521,Day 11,2026-04-08T15-58-43,118,15,15,True
FLR_M01569521__Day 11__2026-04-08T16-03-03,FLR_M01569521,Day 11,2026-04-08T16-03-03,92,13,13,True
FLR_M01569521__Day 11__2026-04-08T16-07-24,FLR_M01569521,Day 11,2026-04-08T16-07-24,92,26,26,True
FLR_M01569521__Day 11__2026-04-08T16-14-45,FLR_M01569521,Day 11,2026-04-08T16-14-45,65,10,10,True
FLR_M01569521__Day 11__2026-04-08T16-17-38,FLR_M01569521,Day 11,2026-04-08T16-17-38,65,10,10,True
FLR_M01569521__Day 12__2026-04-10T14-29-59,FLR_M01569521,Day 12,2026-04-10T14-29-59,136,36,36,True
FLR_M01569521__Day 12__2026-04-10T14-36-58,FLR_M01569521,Day 12,2026-04-10T14-36-58,118,13,13,True
FLR_M01569521__Day 12__2026-04-10T14-39-01,FLR_M01569521,Day 12,2026-04-10T14-39-01,92,23,23,True
FLR_M01569521__Day 12__2026-04-10T14-43-14,FLR_M01569521,Day 12,2026-04-10T14-43-14,65,24,24,True
FLR_M01569521__Day 12__2026-04-10T14-47-10,FLR_M01569521,Day 12,2026-04-10T14-47-10,65,22,22,True
FLR_M01569521__Day 12__2026-04-10T14-51-28,FLR_M01569521,Day 12,2026-04-10T14-51-28,65,25,25,True
FLR_M01569521__Day 13__2026-04-11T16-31-44,FLR_M01569521,Day 13,2026-04-11T16-31-44,132,42,42,True
FLR_M01569521__Day 13__2026-04-11T16-43-21,FLR_M01569521,Day 13,2026-04-11T16-43-21,92,15,15,True
FLR_M01569521__Day 13__2026-04-11T16-45-45,FLR_M01569521,Day 13,2026-04-11T16-45-45,65,15,15,True
FLR_M01569521__Day 13__2026-04-11T16-48-26,FLR_M01569521,Day 13,2026-04-11T16-48-26,65,33,33,True
FLR_M01569521__Day 14__2026-04-15T152615Z,FLR_M01569521,Day 14,2026-04-15T152615Z,110,30,30,True
FLR_M01569521__Day 14__2026-04-15T152936Z,FLR_M01569521,Day 14,2026-04-15T152936Z,65,22,22,True
FLR_M01569521__Day 14__2026-04-15T153220Z,FLR_M01569521,Day 14,2026-04-15T153220Z,69,18,18,True
FLR_M01569521__Day 14__2026-04-15T153501Z,FLR_M01569521,Day 14,2026-04-15T153501Z,69,14,14,True
FLR_M01569521__Day 14__2026-04-15T153647Z,FLR_M01569521,Day 14,2026-04-15T153647Z,65,8,8,True
FLR_M01569521__Day 14__2026-04-15T153742Z,FLR_M01569521,Day 14,2026-04-15T153742Z,65,9,9,True
FLR_M01569521__Day 14__2026-04-15T153909Z,FLR_M01569521,Day 14,2026-04-15T153909Z,65,15,15,True
FLR_M01569521__Day 14__2026-04-15T154403Z,FLR_M01569521,Day 14,2026-04-15T154403Z,65,16,16,True
FLR_M01569521__Day 14__2026-04-15T154919Z,FLR_M01569521,Day 14,2026-04-15T154919Z,65,22,22,True
FLR_M01569521__Day 14__2026-04-15T155631Z,FLR_M01569521,Day 14,2026-04-15T155631Z,65,10,10,True
FLR_M01569521__Day 2__2026-03-27T19-21-42,FLR_M01569521,Day 2,2026-03-27T19-21-42,43,11,11,True
FLR_M01569521__Day 2__2026-03-27T19-43-08,FLR_M01569521,Day 2,2026-03-27T19-43-08,41,11,11,True
FLR_M01569521__Day 2__2026-03-27T19-52-12,FLR_M01569521,Day 2,2026-03-27T19-52-12,41,30,30,True
FLR_M01569521__Day 3__2026-03-30T13-52-35,FLR_M01569521,Day 3,2026-03-30T13-52-35,101,101,101,True
FLR_M01569521__Day 3__2026-03-30T14-06-24,FLR_M01569521,Day 3,2026-03-30T14-06-24,101,25,25,True
FLR_M01569521__Day 3__2026-03-30T14-10-06,FLR_M01569521,Day 3,2026-03-30T14-10-06,101,22,22,True
FLR_M01569521__Day 3__2026-03-30T14-13-52,FLR_M01569521,Day 3,2026-03-30T14-13-52,101,11,11,True
FLR_M01569521__Day 3__2026-03-30T14-16-19,FLR_M01569521,Day 3,2026-03-30T14-16-19,101,10,10,True
