session,seconds,value,source_file
NoSoundCue,23815.396000000001,Request camera start,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23815.838975999999,Start trial logic,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23816.102975999998,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23816.112991999998,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23816.124,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23816.124,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23816.138975999998,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23817.165983999999,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23824.736991999998,Target zone available (X Y : 782 544 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23856.614976000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23856.619999999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23856.632991999999,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.639999999999,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.661983999998,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.670976000001,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.930976,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.953984,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.968991999998,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.970976000001,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.975999999999,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.975999999999,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23858.976992,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23859.986976,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23865.938976000001,Target zone available (X Y : 958 490 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23867.664992000002,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23867.665983999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23867.666976,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.669984,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.676992000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.677984000002,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.930976,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.932000000001,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.944992000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.945984000002,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.950976,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.950976,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23869.957984000001,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23870.961984000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23876.778976000001,Target zone available (X Y : 783 384 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23879.265984000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23879.266975999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23879.268,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23881.680992000001,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23881.680992000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23881.681983999999,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23881.942975999998,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23881.944,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23881.956991999999,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
